ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2763, 2162, 112, 816134
8, 797, 375, 72, 6149452
16, 343, 488, 185, 2543260
32, 440, 670, 59, 2789018
64, 427, 202, 40, 2645214
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2931, 2469, 138, 793885
8, 762, 1195, 69, 5171131
16, 530, 459, 64, 2388859
32, 368, 2642, 74, 2474336
64, 298, 1251, 54, 3111899
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3012, 2258, 105, 829880
8, 860, 415, 71, 5734492
16, 686, 198, 123, 2570221
32, 579, 5436, 51, 2434009
64, 251, 296, 36, 2626142
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2678, 2211, 177, 805505
8, 773, 1446, 69, 4250070
16, 513, 967, 65, 2419277
32, 695, 4686, 84, 2827353
64, 373, 317, 44, 2522810
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2653, 2178, 137, 818911
8, 815, 375, 73, 5831131
16, 1280, 408, 57, 3025570
32, 1898, 3664, 137, 2402840
64, 245, 198, 36, 2602394
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2593, 2229, 124, 788700
8, 731, 391, 70, 6077645
16, 392, 348, 133, 2910723
32, 1894, 359, 54, 3087016
64, 244, 344, 35, 2588340
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2884, 2048, 163, 821282
8, 693, 357, 74, 3781481
16, 431, 557, 87, 2605921
32, 341, 698, 57, 2810591
64, 442, 252, 41, 2844620
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3070, 2197, 138, 773283
8, 617, 836, 67, 4271678
16, 597, 245, 179, 2215842
32, 368, 454, 62, 2759946
64, 271, 691, 40, 2664560
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2760, 2421, 129, 811639
8, 658, 1151, 72, 5362267
16, 744, 517, 87, 2664839
32, 357, 289, 82, 2599593
64, 413, 522, 34, 2615399
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2718, 2242, 109, 849534
8, 526, 304, 62, 4437151
16, 496, 212, 60, 2332921
32, 1668, 6648, 52, 2564411
64, 347, 1921, 65, 2548196
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2388, 2207, 121, 819258
8, 669, 1383, 72, 4204992
16, 437, 991, 59, 2499794
32, 564, 375, 49, 2852690
64, 245, 360, 37, 2422282
